,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,SOLO DUO,31/10/2022,06/11/2022,1,828,141,"17,03 %","13,5",6,Œuf,4,Pomme,3,Poire,2,Poireau,1,Oignon,2,Courgette,1,Poivron,,,,,,
,,QUI CHANGE,31/10/2022,06/11/2022,1,828,137,"16,55 %","13,5",1,Mache,1,Poivron,1,Patate Douce,5,Carotte,1,Oignon,6,PdT,,,,,,,,
,,DU MOMENT,31/10/2022,06/11/2022,2,828,104,"12,56 %","13,5",3,Courgette,1,Aubergine,1,Poivron,5,Tomate,1,Oignon,1,Ail,,,,,,,,
,,TWO P ,31/10/2022,06/11/2022,2,828,105,"12,68 %","7,8",8,Poire,8,Pomme,,,,,,,,,,,,,,,,
,,POMMEE,31/10/2022,06/11/2022,2,828,27,"3,26 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,31/10/2022,06/11/2022,2,828,29,"3,50 %","12,9",Terrine de Mimolette,1,Gaspacho,1,Tomates Cocktail,,,,,,,,,,,,,,,
,,SOLO DUO,07/11/2022,13/11/2022,1,909,136,"14,96 %","13,7",6,Œuf,3,Pomme,2,Poire,6,Clémentine,4,Carotte,6,PdT,2,Courgette,1,Champignon,,,,
,,QUI CHANGE,07/11/2022,13/11/2022,1,909,137,"15,07 %","12,8",1,Mache,1,Echalote,1,Butternut,5,Carotte,1,Oignon,1,Radis,,,,,,,,
,,DU MOMENT,07/11/2022,13/11/2022,2,909,60,"6,60 %","13,5",3,Courgette,1,Aubergine,1,Poivron,5,Tomate,1,Oignon,1,Ail,,,,,,,,
,,FRUITS DE SAISON,07/11/2022,13/11/2022,1,909,135,"14,85 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,TWO P ,07/11/2022,13/11/2022,2,909,51,"5,61 %","9,9",4,Poire,10,Pomme,,,,,,,,,,,,,,,,
,,POMMEE,07/11/2022,13/11/2022,2,909,29,"3,19 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,SOUPE ET POTEES,07/11/2022,13/11/2022,1,909,47,"5,17 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Navet,6,PdT,1,Champignon,,,,,,,,
,,APERO,07/11/2022,13/11/2022,2,909,26,"2,86 %",,,,,,,,,,,,,,,,,,,,,
,,SOLO DUO,14/11/2022,20/11/2022,1,804,128,"15,92 %","13,8",6,Œuf,3,Pomme,2,Poire,6,Clémentine,2,Poireau,6,PdT,1,Oignon,1,Champignon,3,Carotte,,
,,FRUITS DE SAISON,14/11/2022,20/11/2022,2,804,168,"20,90 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,QUI CHANGE,14/11/2022,20/11/2022,1,804,110,"13,68 %","13,5",1,Mache,1,Echalote,1,Epinard,1,Potimarron,1,Patate Douce,1,Oignon,4,Carotte,,,,,,
,,RACLETTE,14/11/2022,20/11/2022,1,804,36,"4,48 %","22,9",1,Raclette,12,PdT,1,Salade,1,Echalote,,,,,,,,,,,,
,,SOUPE ET POTEES,14/11/2022,20/11/2022,2,804,61,"7,59 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Navet,6,PdT,1,Champignon,,,,,,,,
,,TWO P ,14/11/2022,20/11/2022,2,804,34,"4,23 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,14/11/2022,20/11/2022,2,804,26,"3,23 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,FRUITS DE SAISON,21/11/2022,27/11/2022,2,817,165,"20,20 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,RACLETTE,21/11/2022,27/11/2022,2,817,45,"5,51 %","22,9",1,Raclette,12,PdT,1,Salade,1,Echalote,,,,,,,,,,,,
,,QUI CHANGE,21/11/2022,27/11/2022,1,817,105,"12,85 %","15,2",1,Mache,1,Echalote,4,Endive,4,Carotte,1,Epinard,1,Oignon,1,Butternut,,,,,,
,,SOLO DUO,21/11/2022,27/11/2022,1,817,98,"12,00 %","13,7",6,Œuf,3,Pomme,2,Poire,6,Clémentine,6,PdT,1,Oignon,3,Carotte,1,Mache,1,Echalote,,
,,SOUPE ET POTEES,21/11/2022,27/11/2022,2,817,88,"10,77 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Navet,6,PdT,1,Champignon,,,,,,,,
,,TWO P ,21/11/2022,27/11/2022,2,817,38,"4,65 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,21/11/2022,27/11/2022,2,817,20,"2,45 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,FRUITS DE SAISON,28/11/2022,04/12/2022,2,858,149,"17,37 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,TWO P ,28/11/2022,04/12/2022,2,858,31,"3,61 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,28/11/2022,04/12/2022,2,858,24,"2,80 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,RACLETTE,28/11/2022,04/12/2022,2,858,59,"6,88 %","22,9",1,Raclette,12,PdT,1,Salade,1,Echalote,,,,,,,,,,,,
,,SOLO DUO,28/11/2022,04/12/2022,1,858,132,"15,38 %","13,8",6,Œuf,3,Pomme,3,Poire,6,Clémentine,2,Poireau,6,PdT,1,Oignon,1,Champignon,3,Carotte,,
,,QUI CHANGE,28/11/2022,04/12/2022,1,858,84,"9,79 %","14,5",1,Mache,1,Echalote,1,Cresson,1,Champignon,"1,5",Chou rouge,4,Endive,12,Noix,,,,,,
,,SOUPE ET POTEES,28/11/2022,04/12/2022,1,858,93,"10,84 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Navet,6,PdT,1,Champignon,,,,,,,,
,,DES 6,28/11/2022,04/12/2022,2,858,8,"0,93 %",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
