,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,,FRUITS DE SAISON,05/12/2022,11/12/2022,2,797,160,"20,08 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,TWO P ,05/12/2022,11/12/2022,2,797,31,"3,89 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,05/12/2022,11/12/2022,2,797,15,"1,88 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,RACLETTE,05/12/2022,11/12/2022,2,797,39,"4,89 %","22,9",1,Raclette,12,PdT,1,Salade,,,,,,,,,,,,,,
,,DES 6,05/12/2022,11/12/2022,2,797,7,"0,88 %",,,,,,,,,,,,,,,,,,,,,
,,SOLO DUO,05/12/2022,11/12/2022,1,797,107,"13,43 %","14,3",6,Œuf,3,Pomme,3,Poire,6,Clémentine,3,Endive,1,Echalote,1,Champignon,1,Oignon,1,Radis,,
,,QUI CHANGE,05/12/2022,11/12/2022,1,797,59,"7,40 %","11,5",1,Butternut,1,Oignon,4,Carotte,1,Mache,1,Echalote,4,Endive,,,,,,,,
,,SOUPE ET POTEE,05/12/2022,11/12/2022,1,797,89,"11,17 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Panais,6,PdT,1,Champignon,,,,,,,,
,,APERO,05/12/2022,11/12/2022,2,797,19,"2,38 %",,,,,,,,,,,,,,,,,,,,,
,,TRUFFES,05/12/2022,11/12/2022,1,797,11,"1,38 %",,,,,,,,,,,,,,,,,,,,,
,,SOLO DUO,12/12/2022,18/12/2022,1,691,53,"7,67 %","14,3",6,Œuf,3,Pomme,3,Poire,6,Clémentine,6,PdT,1,Oignon,3,Carotte,1,Mache,1,Echalote,,
,,QUI CHANGE,12/12/2022,18/12/2022,1,691,62,"8,97 %","12,9",1,Patate Douce,4,Carotte,1,Oignon,1,Salade,1,Echalote,4,Endive,,,,,,,,
,,SOUPE ET POTEE,12/12/2022,18/12/2022,1,691,87,"12,59 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Panais,6,PdT,1,Champignon,,,,,,,,
,,FRUITS DE SAISON,12/12/2022,18/12/2022,2,691,116,"16,79 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,POMMEE,12/12/2022,18/12/2022,2,691,16,"2,32 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,TWO P ,12/12/2022,18/12/2022,2,691,26,"3,76 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,FOIE GRAS ,12/12/2022,18/12/2022,1,691,35,"5,07 %","24,5",1,Foie Gras 180g Mi-Cuit,,,,,,,,,,,,,,,,,,
,,RACLETTE,12/12/2022,18/12/2022,2,691,32,"4,63 %","22,9",1,Raclette,12,PdT,1,Salade,,,,,,,,,,,,,,
,,APERO,12/12/2022,18/12/2022,2,691,22,"3,18 %",,,,,,,,,,,,,,,,,,,,,
,,CONFIT DE CANARD,12/12/2022,18/12/2022,1,691,23,"3,33 %","14,5",1,Confit 2 cuisses,,,,,,,,,,,,,,,,,,
,,SOLO DUO,19/12/2022,25/12/2022,1,541,35,"6,47 %","13,8",6,Œuf,6,Clémentine,3,Pomme,3,Poire,1,Champignon,4,Carotte,2,Poireau,6,PdT,1,Oignon,,
,,QUI CHANGE,19/12/2022,25/12/2022,1,541,34,"6,28 %","12,5",1,Butternut,4,Carotte,1,Oignon,1,Champignon,5,Endive,1,Echalote,,,,,,,,
,,FOIE GRAS ,19/12/2022,25/12/2022,2,541,68,"12,57 %","24,5",1,Foie Gras 180g Mi-Cuit,,,,,,,,,,,,,,,,,,
,,FRUITS DE SAISON,19/12/2022,25/12/2022,2,541,86,"15,90 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,CONFIT DE CANARD,19/12/2022,25/12/2022,2,541,34,"6,28 %","14,5",1,Confit 2 cuisses,,,,,,,,,,,,,,,,,,
,,SOUPE ET POTEE,19/12/2022,25/12/2022,2,541,32,"5,91 %","11,5",5,Carotte,1,Oignon,2,Poireau,1,Panais,6,PdT,1,Champignon,,,,,,,,
,,TWO P ,19/12/2022,25/12/2022,2,541,22,"4,07 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,19/12/2022,25/12/2022,2,541,15,"2,77 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,APERO,19/12/2022,25/12/2022,2,541,14,"2,59 %",,,,,,,,,,,,,,,,,,,,,
,,RACLETTE,19/12/2022,25/12/2022,2,541,5,"0,92 %","22,9",1,Raclette,12,PdT,1,Salade,,,,,,,,,,,,,,
,,QUI CHANGE,26/12/2022,01/01/2023,1,595,62,"10,42 %","12,8",6,Endive,5,Carotte,2,Radis,1,Mache,2,Echalote,12,Noix,,,,,,,,
,,SOLO DUO,26/12/2022,01/01/2023,1,595,74,"12,44 %","13,5",6,Œuf,5,Pomme,3,Poire,3,Carotte,5,PdT,1,Oignon,1,Champignon,1,Salade,,,,
,,SOUPE ET POTEE,26/12/2022,01/01/2023,1,595,47,"7,90 %","11,5",5,Carotte,1,Oignon,1,Navet,6,PdT,2,Poireau,1,Champignon,,,,,,,,
,,TWO P ,26/12/2022,01/01/2023,2,595,20,"3,36 %","9,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,POMMEE,26/12/2022,01/01/2023,2,595,13,"2,18 %","9,8",20,Pomme,,,,,,,,,,,,,,,,,,
,,FRUITS DE SAISON,26/12/2022,01/01/2023,2,595,83,"13,95 %","12,3",4,Poire,6,Pomme,15,Clémentine,,,,,,,,,,,,,,
,,TRUFFES,26/12/2022,01/01/2023,2,595,10,"1,68 %",,,,,,,,,,,,,,,,,,,,,
,,FOIE GRAS ,26/12/2022,01/01/2023,2,595,23,"3,87 %","24,5",1,Foie Gras 180g Mi-Cuit,,,,,,,,,,,,,,,,,,
,,CONFIT DE CANARD,26/12/2022,01/01/2023,2,595,25,"4,20 %","14,5",1,Confit 2 cuisses,,,,,,,,,,,,,,,,,,
,,APERO,26/12/2022,01/01/2023,2,595,1,"0,17 %",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#DIV/0 !,,,,,,,,,,,,,,,,,,,,,
