,Id Clayette,Type,Date début,Date fin,Nouveauté (non existante semaine avant) 1 si oui,Nb clayettes vendues cette semaine là,Nombre vendu de la clayette,% Ventes,Prix,Qté Ingrédient 1,Ingrédient 1,Qté Ingrédient 2,Ingrédient 2,Qté Ingrédient 3,Ingrédient 3,Qté Ingrédient 4,Ingrédient 4,Qté Ingrédient 5,Ingrédient 5,Qté Ingrédient 6,Ingrédient 6,Qté Ingrédient 7,Ingrédient 7,Qté Ingrédient 8,Ingrédient 8,Qté Ingrédient 9,Ingrédient 9,Qté Ingrédient 10,Ingrédient 10
,1,CROQUANTE,27/09/2021,03/10/2021,1,517,11,"2,13 %","16,5",6,Œuf,1,Farine,1,Salade,3,Pomme,3,Poire,3,Tomate,3,Courgette,1,Thym,1,Echalote,,
,2,ENSOLEILEE,27/09/2021,03/10/2021,1,517,0,"0,00 %","13,9",4,Tomate,6,Carotte,5,PdT,1,Salade,1,Echalote,2,Poireau,,,,,,,,
,,FRUITS DE SAISON,27/09/2021,03/10/2021,,517,79,"15,28 %","9,5",6,Pomme,4,Poire,1,Raisin,,,,,,,,,,,,,,
,,TWO P,27/09/2021,03/10/2021,,517,45,"8,70 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
,,SOLO DUO,27/09/2021,03/10/2021,,517,56,"10,83 %","13,9",5,PdT,3,Tomate,1,Poireau,6,OEUF,3,Pomme,4,Carotte,,,,,,,,
,,APERO,27/09/2021,03/10/2021,,517,20,"3,87 %",,1,Saucisson,,Tomate,,,,,,,,,,,,,,,,
,,AUTOMNALE,27/09/2021,03/10/2021,,517,66,"12,77 %","13,9",4,Tomate,6,Carotte,5,PdT,1,Salade,1,Echalote,2,Poireau,,,,,,,,
,,SOLO DUO,04/10/2021,10/10/2021,2,493,35,"7,10 %","13,9",5,PdT,6,Œuf,3,Tomate,1,Poireau,3,Pomme,2,Poire,4,Carotte,,,,,,
,,AUTOMNALE,04/10/2021,10/10/2021,2,495,56,"11,31 %","13,9",4,Tomate,6,Carotte,5,PdT,1,Salade,1,Echalote,2,Poireau,,,,,,,,
,,FRUITS DE SAISON,04/10/2021,10/10/2021,2,496,93,"18,75 %",,6,Pomme,4,Poire,4,Rhubarbe,,,,,,,,,,,,,,
,,TWO P,04/10/2021,10/10/2021,2,497,41,"8,25 %","7,9",10,Pomme,4,Poire,,,,,,,,,,,,,,,,
